"country","food_group","grow","survive","decrease","kill"
"Zimbabwe","Lamb","2.6279272002381084E-4","9.0688388064708605E-5","3.5918490081238684E-5","9.4244434287044522E-6"
"Zimbabwe","Beef","2.6279272002381089E-4","9.0688388064708633E-5","3.591849008123869E-5","9.4244434287044505E-6"
"Zimbabwe","Pork","1.0492325126523808E-3","8.0063859947693229E-4","3.0299376353194052E-4","9.7320387641818232E-5"
"Zimbabwe","Poultry","1.0215213048002892E-4","5.9779460472447361E-5","2.2886849769204748E-5","7.0020587817516415E-6"
"Zimbabwe","Eggs","2.2036345358525223E-4","7.7365076495625781E-5","3.0598817493697987E-5","8.0824397767754275E-6"
"Zimbabwe","Dairy","8.709168257855017E-6","3.6987277200806935E-6","1.4420788566795704E-6","4.0688206525651183E-7"
"Zimbabwe","Fish and shellfish","0","0","0","0"
"Zimbabwe","Fruit and vegetables","8.4189765739352707E-7","4.7086879338393578E-7","1.8068087873626908E-7","5.4742088468766373E-8"
"Zimbabwe","Beverages","0","0","0","0"
"Zimbabwe","Grains,bread, pastas and bakery products","1.4219210948881686E-5","5.937551861780819E-6","2.318355112760184E-6","6.5026027795722934E-7"
"Zimbabwe","Other foods including composite foods","0","0","0","0"
